heart_rate,enhanced_speed,cadence
152,3.098,91
152,3.107,91
151,3.116,91
151,3.144,91
150,3.163,91
150,3.163,91
149,3.154,91
149,3.154,91
148,3.144,92
147,3.135,91
147,3.126,91
146,3.126,92
146,3.116,91
145,3.116,91
144,3.116,91
144,3.116,91
143,3.126,91
143,3.135,91
143,3.135,91
142,3.144,91
141,3.144,91
141,3.154,91
141,3.163,91
141,3.172,91
140,3.182,91
140,3.182,92
140,3.191,92
140,3.2,92
139,3.21,92
139,3.21,92
139,3.219,92
138,3.228,92
138,3.228,92
138,3.238,93
137,3.238,93
137,3.247,93
137,3.247,93
136,3.247,93
136,3.256,92
136,3.256,92
136,3.256,92
136,3.266,92
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
136,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.266,93
137,3.256,93
137,3.256,92
137,3.247,92
137,3.247,92
137,3.247,91
137,3.247,91
137,3.238,91
137,3.238,91
137,3.228,91
137,3.228,91
137,3.228,92
137,3.228,92
137,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.238,92
138,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,92
139,3.238,91
139,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
138,3.228,92
137,3.228,92
137,3.238,92
137,3.238,92
137,3.238,92
136,3.238,92
136,3.238,92
136,3.247,93
136,3.247,93
136,3.247,93
136,3.247,93
135,3.247,93
135,3.256,93
135,3.256,93
135,3.256,94
134,3.256,94
135,3.256,94
135,3.256,94
135,3.256,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
135,3.266,93
134,3.266,93
135,3.266,93
135,3.266,92
135,3.266,92
135,3.266,92
135,3.266,92
135,3.256,92
135,3.256,91
135,3.256,90
135,3.247,90
135,3.247,90
135,3.247,90
136,3.238,90
136,3.238,90
136,3.238,90
136,3.238,90
135,3.238,90
135,3.238,90
135,3.238,90
135,3.238,90
135,3.238,91
135,3.238,91
134,3.238,91
134,3.238,91
134,3.238,92
133,3.238,92
133,3.238,92
133,3.238,92
132,3.238,91
132,3.238,91
132,3.238,91
131,3.238,91
131,3.238,91
131,3.228,92
130,3.228,92
130,3.228,92
130,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.228,92
129,3.219,92
129,3.219,92
128,3.219,92
128,3.219,92
129,3.219,92
129,3.219,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.21,92
129,3.2,91
128,3.2,91
128,3.2,91
128,3.2,92
127,3.2,92
127,3.191,92
127,3.191,92
127,3.191,91
127,3.191,91
127,3.191,91
128,3.182,91
128,3.182,91
128,3.182,91
128,3.182,91
128,3.182,91
