heart_rate,enhanced_speed,cadence
157,3.032,89
157,3.032,89
157,3.023,89
156,3.023,89
156,3.023,89
156,3.014,90
156,3.014,90
156,3.014,89
156,3.004,89
156,3.004,89
157,2.995,89
157,2.995,89
157,2.986,89
157,2.976,89
158,2.976,89
158,2.967,89
158,2.967,89
159,2.958,89
159,2.958,89
159,2.948,90
159,2.948,90
159,2.939,90
159,2.939,90
160,2.939,90
160,2.93,90
160,2.93,90
160,2.939,90
160,2.939,90
161,2.939,90
161,2.939,90
161,2.939,90
161,2.948,90
162,2.948,90
162,2.948,90
162,2.958,91
163,2.958,91
163,2.967,90
163,2.967,90
163,2.976,89
164,2.986,90
164,2.995,90
164,3.004,90
164,3.004,90
164,3.014,91
164,3.023,91
164,3.032,91
164,3.032,91
164,3.06,91
164,3.098,91
163,3.126,91
163,3.163,91
163,3.191,91
163,3.219,90
162,3.238,90
162,3.238,90
162,3.228,90
162,3.219,89
162,3.21,89
161,3.2,89
161,3.182,89
161,3.182,91
161,3.163,91
161,3.154,91
161,3.144,90
161,3.135,90
161,3.116,90
160,3.116,90
160,3.116,90
160,3.126,89
160,3.126,89
160,3.107,89
160,3.107,89
159,3.116,89
159,3.2,89
159,3.238,89
159,3.284,89
158,3.34,89
158,3.34,89
158,3.34,89
157,3.35,89
157,3.368,89
157,3.387,89
157,3.387,90
156,3.387,90
156,3.396,90
156,3.406,89
155,3.415,89
155,3.424,89
155,3.434,89
155,3.443,89
155,3.452,89
155,3.452,89
154,3.452,89
154,3.462,88
153,3.462,88
153,3.471,88
153,3.48,88
153,3.49,88
153,3.49,87
152,3.48,87
152,3.471,88
152,3.462,89
152,3.452,89
152,3.443,89
152,3.434,89
152,3.434,89
152,3.424,89
152,3.424,88
152,3.424,88
152,3.415,88
152,3.415,88
152,3.415,87
152,3.415,87
152,3.406,86
152,3.406,84
152,3.396,82
152,3.387,82
152,3.387,83
152,3.368,83
152,3.359,85
152,3.35,86
152,3.35,87
151,3.35,87
151,3.359,87
151,3.378,87
151,3.387,87
152,3.396,87
152,3.396,87
152,3.406,87
152,3.415,86
152,3.424,86
152,3.434,86
152,3.434,86
152,3.434,86
151,3.443,86
151,3.443,87
151,3.443,87
151,3.443,87
151,3.443,87
150,3.443,87
150,3.434,87
149,3.424,86
149,3.415,86
149,3.406,85
148,3.396,85
148,3.387,86
148,3.387,86
147,3.378,86
147,3.368,86
147,3.359,86
